Key,en,hi,ar,es,fr
Dashboard,Dashboard,डैशबोर्ड,لوحة القيادة,Panel,Tableau de bord
Language,Language,भाषा,لغة,Idioma,Langue
Information,Information,जानकारी,معلومة,Información,Information
Language Information,Language Information,भाषा संबंधी जानकारी,معلومات اللغة,Información de idioma,Informations linguistiques
Language Manager,Language Manager,भाषा प्रबंधक,مدير اللغة,Administrador de idiomas,Gestionnaire de langues
Language created successfully!,Language created successfully!,भाषा सफलतापूर्वक बनाई गई!,تم إنشاء اللغة بنجاح!,¡Idioma creado exitosamente!,Langue créée avec succès !
User dashboard data fetch successfully!,User dashboard data fetch successfully!,उपयोगकर्ता डैशबोर्ड डेटा सफलतापूर्वक प्राप्त हुआ!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,¡Los datos del panel de usuario se recuperaron correctamente!,Les données du tableau de bord utilisateur ont été récupérées avec succès !
Something went wrong! Please try again,Something went wrong! Please try again,कुछ गलत हो गया! कृपया पुन: प्रयास करें,حدث خطأ ما! يرجى المحاولة مرة أخرى,¡Algo salió mal! Por favor inténtalo de nuevo,Quelque chose s'est mal passé ! Veuillez réessayer
Logout success!,Logout success!,लॉगआउट सफलता!,نجاح تسجيل الخروج!,¡Cerrar sesión exitosamente!,Déconnexion réussie !
active,active,सक्रिय,نشيط,activo,actif
Setup Section,Setup Section,सेटअप अनुभाग,قسم الإعداد,Sección de configuración,Section de configuration
Tags,Tags,टैग,العلامات,Etiquetas,Balises
submit,submit,जमा करना,يُقدِّم,entregar,soumettre
Update,Update,अद्यतन,تحديث,Actualizar,Mise à jour
Daily Schedules,Daily Schedules,दैनिक शैड्यूल,الجداول اليومية,Horarios diarios,Horaires quotidiens
Schedule Edit,Schedule Edit,शेड्यूल संपादित करें,جدولة التحرير,Editar horario,Modifier le calendrier
Banner Section,Banner Section,बैनर अनुभाग,قسم البانر,Sección de pancartas,Section bannière
About Section,About Section,अनुभाग के बारे में,حول القسم,Acerca de la sección,À propos de la section
Contact Section,Contact Section,संपर्क अनुभाग,قسم الاتصال,Sección de contacto,Rubrique Contact
Team Section,Team Section,टीम अनुभाग,قسم الفريق,Sección de equipo,Section d'équipe
Video Section,Video Section,वीडियो अनुभाग,قسم الفيديو,Sección de Vídeo,Section vidéo
Gallery Section,Gallery Section,गैलरी अनुभाग,قسم المعرض,Sección de galería,Section Galerie
Testimonial Section,Testimonial Section,प्रशंसापत्र अनुभाग,قسم الشهادات,Sección de testimonios,Section témoignage
Setup Announcement Category,Setup Announcement Category,सेटअप घोषणा श्रेणी,فئة إعلان الإعداد,Categoría de anuncio de configuración,Catégorie d’annonce de configuration
Announcement Section,Announcement Section,घोषणा अनुभाग,قسم الإعلان,Sección de anuncios,Section Annonce
Announcement Edit,Announcement Edit,घोषणा संपादित करें,تحرير الإعلان,Anuncio Editar,Annonce Modifier
Footer Section,Footer Section,पाद लेख अनुभाग,قسم التذييل,Sección de pie de página,Section de pied de page
Auth Section,Auth Section,प्रामाणिक अनुभाग,قسم المصادقة,Sección de autenticación,Section d'authentification
Category,Category,वर्ग,فئة,Categoría,Catégorie
label,label,लेबल,ملصق,etiqueta,étiquette
Name,Name,नाम,اسم,Nombre,Nom
Description,Description,विवरण,وصف,Descripción,Description
Image,Image,छवि,صورة,Imagen,Image
Title,Title,शीर्षक,عنوان,Título,Titre
Defaults,Defaults,चूक,الافتراضيات,Valores predeterminados,Valeurs par défaut
